Namespace(batch_size=64, data_shape=416, dataset='coco', epochs=200, gpus='4,5', label_smooth=True, log_interval=100, lr=0.001, lr_decay=0.1, lr_decay_epoch='160,180', lr_decay_period=0, lr_mode='step', mixup=False, momentum=0.9, no_mixup_epochs=20, no_random_shape=False, no_wd=False, num_samples=117266, num_workers=40, optimizer='sgd', resume='', save_interval=1, save_prefix='./results/1/yolo3_tiny_darknet_coco', seed=233, start_epoch=0, syncbn=True, warmup_epochs=2, warmup_lr=0.0, wd=0.0005)
Start training from [Epoch 0]
[E 0][B 99], LR: 2.70E-05, 101.2 S/s, O=301.338, BC=17.261, BS=16.186, C=286.898
[E 0][B 199], LR: 5.43E-05, 56.0 S/s, O=170.174, BC=16.985, BS=14.266, C=198.213
[E 0][B 299], LR: 8.16E-05, 216.3 S/s, O=124.494, BC=16.355, BS=12.751, C=153.661
[E 0][B 399], LR: 1.09E-04, 78.6 S/s, O=101.409, BC=16.074, BS=11.877, C=128.983
[E 0][B 499], LR: 1.36E-04, 76.9 S/s, O=87.624, BC=15.935, BS=11.258, C=113.892
[E 0][B 599], LR: 1.63E-04, 141.7 S/s, O=78.486, BC=15.899, BS=10.824, C=103.664
[E 0][B 699], LR: 1.91E-04, 138.8 S/s, O=71.577, BC=15.719, BS=10.387, C=95.824
[E 0][B 799], LR: 2.18E-04, 98.0 S/s, O=66.579, BC=15.675, BS=10.096, C=90.201
[E 0][B 899], LR: 2.45E-04, 73.7 S/s, O=62.949, BC=15.686, BS=9.849, C=85.973
[E 0][B 999], LR: 2.73E-04, 136.9 S/s, O=59.840, BC=15.671, BS=9.649, C=82.443
[E 0][B 1099], LR: 3.00E-04, 116.0 S/s, O=57.383, BC=15.688, BS=9.490, C=79.590
[E 0][B 1199], LR: 3.27E-04, 75.0 S/s, O=55.157, BC=15.645, BS=9.333, C=77.062
[E 0][B 1299], LR: 3.55E-04, 91.0 S/s, O=53.189, BC=15.605, BS=9.207, C=74.913
[E 0][B 1399], LR: 3.82E-04, 107.2 S/s, O=51.480, BC=15.550, BS=9.083, C=73.008
[E 0][B 1499], LR: 4.09E-04, 175.7 S/s, O=49.983, BC=15.498, BS=8.977, C=71.331
[E 0][B 1599], LR: 4.36E-04, 101.8 S/s, O=48.791, BC=15.482, BS=8.884, C=69.946
[E 0][B 1699], LR: 4.64E-04, 71.0 S/s, O=47.702, BC=15.456, BS=8.792, C=68.684
[E 0][B 1799], LR: 4.91E-04, 194.9 S/s, O=46.833, BC=15.461, BS=8.712, C=67.640
[E 0] 1373.5 sec, O=46.498, BC=15.437, BS=8.687, C=67.260
[E 1][B 99], LR: 5.27E-04, 90.6 S/s, O=45.614, BC=15.410, BS=8.617, C=66.256
[E 1][B 199], LR: 5.54E-04, 78.1 S/s, O=44.832, BC=15.395, BS=8.566, C=65.385
[E 1][B 299], LR: 5.82E-04, 191.7 S/s, O=44.087, BC=15.371, BS=8.504, C=64.566
[E 1][B 399], LR: 6.09E-04, 78.3 S/s, O=43.419, BC=15.342, BS=8.441, C=63.802
[E 1][B 499], LR: 6.36E-04, 63.9 S/s, O=42.818, BC=15.335, BS=8.400, C=63.149
[E 1][B 599], LR: 6.63E-04, 85.5 S/s, O=42.246, BC=15.323, BS=8.351, C=62.526
[E 1][B 699], LR: 6.91E-04, 106.9 S/s, O=41.755, BC=15.315, BS=8.313, C=61.964
[E 1][B 799], LR: 7.18E-04, 85.6 S/s, O=41.288, BC=15.311, BS=8.276, C=61.451
[E 1][B 899], LR: 7.45E-04, 77.3 S/s, O=40.799, BC=15.299, BS=8.244, C=60.954
[E 1][B 999], LR: 7.73E-04, 87.0 S/s, O=40.340, BC=15.294, BS=8.224, C=60.509
[E 1][B 1099], LR: 8.00E-04, 176.6 S/s, O=39.933, BC=15.278, BS=8.195, C=60.049
[E 1][B 1199], LR: 8.27E-04, 151.8 S/s, O=39.492, BC=15.255, BS=8.168, C=59.603
[E 1][B 1299], LR: 8.55E-04, 65.0 S/s, O=39.161, BC=15.253, BS=8.146, C=59.240
[E 1][B 1399], LR: 8.82E-04, 91.6 S/s, O=38.842, BC=15.243, BS=8.118, C=58.867
[E 1][B 1499], LR: 9.09E-04, 90.4 S/s, O=38.528, BC=15.237, BS=8.093, C=58.529
[E 1][B 1599], LR: 9.36E-04, 99.0 S/s, O=38.238, BC=15.227, BS=8.067, C=58.194
[E 1][B 1699], LR: 9.64E-04, 74.9 S/s, O=37.954, BC=15.218, BS=8.047, C=57.886
[E 1][B 1799], LR: 9.91E-04, 133.1 S/s, O=37.683, BC=15.210, BS=8.022, C=57.595
[E 1] 1317.9 sec, O=37.604, BC=15.209, BS=8.018, C=57.508
[E 2][B 99], LR: 1.00E-03, 129.3 S/s, O=37.325, BC=15.198, BS=8.001, C=57.219
[E 2][B 199], LR: 1.00E-03, 68.8 S/s, O=37.073, BC=15.186, BS=7.974, C=56.943
[E 2][B 299], LR: 1.00E-03, 70.3 S/s, O=36.816, BC=15.172, BS=7.952, C=56.668
[E 2][B 399], LR: 1.00E-03, 106.0 S/s, O=36.591, BC=15.159, BS=7.926, C=56.411
[E 2][B 499], LR: 1.00E-03, 116.3 S/s, O=36.378, BC=15.149, BS=7.906, C=56.172
[E 2][B 599], LR: 1.00E-03, 142.7 S/s, O=36.187, BC=15.148, BS=7.893, C=55.970
[E 2][B 699], LR: 1.00E-03, 101.7 S/s, O=35.995, BC=15.144, BS=7.875, C=55.764
[E 2][B 799], LR: 1.00E-03, 116.9 S/s, O=35.821, BC=15.140, BS=7.855, C=55.566
[E 2][B 899], LR: 1.00E-03, 87.5 S/s, O=35.649, BC=15.140, BS=7.844, C=55.388
[E 2][B 999], LR: 1.00E-03, 82.5 S/s, O=35.458, BC=15.131, BS=7.826, C=55.191
[E 2][B 1099], LR: 1.00E-03, 91.5 S/s, O=35.307, BC=15.133, BS=7.812, C=55.030
[E 2][B 1199], LR: 1.00E-03, 127.4 S/s, O=35.163, BC=15.133, BS=7.793, C=54.870
[E 2][B 1299], LR: 1.00E-03, 103.5 S/s, O=35.013, BC=15.137, BS=7.783, C=54.730
[E 2][B 1399], LR: 1.00E-03, 71.2 S/s, O=34.834, BC=15.124, BS=7.765, C=54.547
[E 2][B 1499], LR: 1.00E-03, 147.1 S/s, O=34.682, BC=15.119, BS=7.749, C=54.392
[E 2][B 1599], LR: 1.00E-03, 102.4 S/s, O=34.535, BC=15.113, BS=7.733, C=54.238
[E 2][B 1699], LR: 1.00E-03, 78.4 S/s, O=34.383, BC=15.103, BS=7.714, C=54.076
[E 2][B 1799], LR: 1.00E-03, 76.0 S/s, O=34.252, BC=15.097, BS=7.697, C=53.931
[E 2] 1350.0 sec, O=34.218, BC=15.099, BS=7.693, C=53.894
[E 3][B 99], LR: 1.00E-03, 106.7 S/s, O=34.085, BC=15.094, BS=7.679, C=53.760
[E 3][B 199], LR: 1.00E-03, 71.7 S/s, O=33.965, BC=15.093, BS=7.667, C=53.636
[E 3][B 299], LR: 1.00E-03, 84.0 S/s, O=33.824, BC=15.087, BS=7.655, C=53.502
[E 3][B 399], LR: 1.00E-03, 124.5 S/s, O=33.697, BC=15.080, BS=7.640, C=53.371
[E 3][B 499], LR: 1.00E-03, 180.7 S/s, O=33.586, BC=15.077, BS=7.627, C=53.255
[E 3][B 599], LR: 1.00E-03, 78.0 S/s, O=33.473, BC=15.071, BS=7.611, C=53.131
[E 3][B 699], LR: 1.00E-03, 51.1 S/s, O=33.359, BC=15.063, BS=7.596, C=53.005
[E 3][B 799], LR: 1.00E-03, 175.3 S/s, O=33.256, BC=15.053, BS=7.578, C=52.877
[E 3][B 899], LR: 1.00E-03, 101.4 S/s, O=33.164, BC=15.053, BS=7.566, C=52.778
[E 3][B 999], LR: 1.00E-03, 130.2 S/s, O=33.076, BC=15.051, BS=7.550, C=52.677
[E 3][B 1099], LR: 1.00E-03, 81.7 S/s, O=32.995, BC=15.048, BS=7.536, C=52.575
[E 3][B 1199], LR: 1.00E-03, 159.4 S/s, O=32.919, BC=15.049, BS=7.522, C=52.488
[E 3][B 1299], LR: 1.00E-03, 59.0 S/s, O=32.825, BC=15.045, BS=7.512, C=52.393
[E 3][B 1399], LR: 1.00E-03, 95.8 S/s, O=32.726, BC=15.039, BS=7.498, C=52.291
[E 3][B 1499], LR: 1.00E-03, 137.6 S/s, O=32.655, BC=15.037, BS=7.486, C=52.202
[E 3][B 1599], LR: 1.00E-03, 113.9 S/s, O=32.570, BC=15.035, BS=7.473, C=52.116
[E 3][B 1699], LR: 1.00E-03, 87.2 S/s, O=32.473, BC=15.031, BS=7.463, C=52.027
[E 3][B 1799], LR: 1.00E-03, 68.7 S/s, O=32.383, BC=15.025, BS=7.451, C=51.930
[E 3] 1353.2 sec, O=32.345, BC=15.021, BS=7.448, C=51.894
[E 4][B 99], LR: 1.00E-03, 151.0 S/s, O=32.268, BC=15.016, BS=7.437, C=51.806
[E 4][B 199], LR: 1.00E-03, 117.5 S/s, O=32.185, BC=15.013, BS=7.427, C=51.725
[E 4][B 299], LR: 1.00E-03, 78.7 S/s, O=32.105, BC=15.007, BS=7.416, C=51.638
[E 4][B 399], LR: 1.00E-03, 75.8 S/s, O=32.023, BC=15.000, BS=7.405, C=51.550
[E 4][B 499], LR: 1.00E-03, 107.6 S/s, O=31.958, BC=14.996, BS=7.394, C=51.472
[E 4][B 599], LR: 1.00E-03, 164.3 S/s, O=31.878, BC=14.992, BS=7.386, C=51.396
